refno,pump_rate
225538,11
234642,8
224723,8
225459,20
225527,1.5
225571,1
224713,1.5
224527,1200
225457,6
234597,1
235015,20
225503,6
224698,2
225519,11
224547,8
418292,5
217092,2.5
224458,70
225547,20
225474,10
234577,20
225479,13
224721,4
234582,15
225552,2
224493,102
234632,20
224513,45
225532,2
234929,15
225536,5
234587,15
264250,8.5
234572,18
224488,45
231428,20
264292,18
224776,510
224781,350
224791,250
224517,150
259518,3
217103,2
231519,17
264287,6
225558,8
224498,11
224503,12
224508,21
240227,300
42856,25
225492,0.5
231316,9
231435,8
224463,40
235005,20
234626,5
217026,0.33
309175,1
234930,20
234599,0.23
224473,10
269777,50
225467,20
217105,300
234990,20
217011,1.33
234980,18
217016,0.5
225464,2
225497,4
217006,8
217085,10
225542,8
234652,0.25
225469,4.5
240233,30
225463,4
264174,17
264180,2
264185,9
264219,1.5
264283,23
264391,9
225489,5
251137,25
251187,12
224518,350
224512,150
224502,3.5
224703,1.5
225468,2.5
224471,4
251147,20
42757,360
225473,7
224522,2000
225512,5
250984,15
251010,20
251070,15
348517,12
348522,4
225573,10
224532,500
225508,7
225478,4.5
225546,10
225458,2
234975,20
240186,40
224775,0.5
264291,19
346359,214
224557,8
234542,5
225568,6
234904,20
400361,1
217049,3.5
251122,9
225513,15
235010,15
234909,10
433045,12
217100,15
225498,7
235130,20
234945,10
48703,15
234631,4
225572,15
225551,13
309243,1
225557,15
231415,20
225534,9
234910,10
234571,1
231468,6
234653,10
225533,20
234612,10
234627,20
217021,1
225507,10
225501,320
235140,10
224521,39
224715,2
251162,10
216930,2
224760,3
224685,2
224720,5
225517,11
235135,5
224565,60
259855,8
217031,1.5
234965,8
225502,7
231417,10
225523,15
234617,10
225567,15
234955,20
217036,0.9
234607,8
217120,1
234658,10
417440,3
235125,20
234648,5
224680,8
234937,10
225541,15
234922,15
217058,1.5
234962,15
217117,400
234602,60
234592,10
417499,1.5
251152,6
234977,20
250980,15
225491,20
234557,7
224595,6
234562,10
234567,15
217090,1.5
234552,3
234594,70
235071,10
235081,10
224580,50
231530,9
225435,8
235076,10
225425,14
235131,10
234624,100
235086,8
224675,6
217119,1.25
234948,20
283683,0.5
283684,0.5
234952,15
224630,30
231321,3
329580,1
42772,19
234963,20
400373,12
323271,1.5
251645,3.5
234932,6
225400,14
225350,30
234917,18
225390,7
234641,1
225434,15
235008,15
234989,20
3368,5
3369,5
225340,7
264356,17
234912,15
225385,7
225429,10
324702,225
224710,15
225481,5
231311,2
231429,4
231458,1
234978,20
224764,5
224620,700
225419,15
225410,20
407322,15
225450,8
225516,6
303896,10
225439,20
225405,15
235018,18
224590,365
225395,6
224700,2
235031,4
234614,15
